107	6	128
108	6	82
191	6	200
104	7	115
105	7	115
106	7	93
107	7	0
108	7	102
109	7	157
110	7	62
191	7	213
98	8	63
99	8	39
103	8	0
104	8	150
110	8	129
97	9	286
98	9	200
99	9	0
103	9	104
104	9	174
110	9	103
121	9	33
103	10	0
104	10	268
120	10	0
121	10	264
246	10	62
247	10	0
103	11	104
104	11	98
120	11	158
233	11	198
247	11	154
232	12	67
233	12	109
246	12	56
247	12	128
232	13	89
233	13	77
246	13	143
52	14	68
123	14	0
233	14	161
246	14	112
51	15	108
52	15	82
122	15	59
123	15	131
124	15	152
233	15	77
234	15	133
246	15	280
50	16	67
51	16	49
121	16	96
122	16	116
234	16	270
246	16	81
247	16	150
49	17	53
50	17	74
120	17	22
121	17	111
247	17	104
48	18	114
49	18	100
120	18	109
247	18	67
248	18	153
47	19	273
48	19	56
119	19	107
120	19	41
248	19	84
249	19	82
46	20	106
47	20	260
118	20	0
119	20	100
249	20	125
46	21	9
118	21	101
220	21	0
221	21	109
222	21	0
223	21	108
224	21	134
225	21	152
226	21	107
249	21	68
250	21	109
117	22	95
118	22	88
120	22	227
121	22	251
218	22	92
219	22	125
220	22	89
221	22	76
222	22	90
226	22	60
227	22	71
250	22	103
117	23	95
119	23	109
120	23	113
106	24	121
112	24	86
113	24	110
114	24	205
115	24	190
116	24	132
117	24	115
118	24	115
119	24	110
106	25	0
107	25	85
108	25	122
109	25	102
110	25	94
111	25	88
112	25	58
113	25	79
114	25	0
115	25	163
173	34	60
174	34	188
163	37	96
201	38	90
202	38	137
203	38	104
200	39	121
201	39	82
200	40	114
21	41	108
22	41	115
23	41	138
24	41	140
25	41	87
28	41	127
29	41	75
181	41	147
200	41	114
24	42	16
25	42	70
26	42	104
27	42	119
28	42	27
29	42	87
30	42	81
181	42	107
182	42	89
200	42	108
182	43	77
183	43	74
200	43	102
183	44	123
183	45	93
184	45	27
184	46	90
185	46	61
166	47	48
167	47	0
185	47	97
186	47	90
166	48	101
167	48	286
186	48	38
187	48	95
188	48	94
211	48	36
212	48	70
213	48	52
128	49	171
129	49	195
209	49	110
210	49	136
211	49	168
212	49	141
213	49	152
127	50	100
128	50	60
209	50	102
210	50	136
211	50	268
237	60	140
237	61	240
237	62	253
217	66	105
216	67	0
217	67	157
216	68	221
215	69	78
216	69	164
215	70	102
223	73	72
224	73	140
225	73	152
226	73	19
226	74	138
227	74	148
226	75	228
227	75	134
47	76	55
86	76	85
87	76	112
23	77	253
46	77	94
47	77	200
73	77	254
86	77	0
22	78	155
23	78	151
47	78	106
22	79	109
23	79	149
47	79	10
48	79	123
22	80	213
23	80	142
24	80	176
25	80	46
48	80	313
49	80	154
22	81	102
49	81	0
50	81	115
51	81	74
126	81	64
11	82	170
12	82	369
51	82	73
52	82	127
53	82	28
80	82	141
81	82	160
82	82	172
125	82	149
126	82	131
10	83	33
11	83	119
53	83	99
54	83	89
123	83	107
124	83	129
125	83	147
54	84	73
55	84	95
123	84	431
55	85	83
56	85	77
28	86	150
27	87	203
28	87	169
70	92	0
70	93	115
69	94	100
70	94	0
69	95	102
69	96	0
63	99	37
82	99	82
62	100	47
63	100	122
82	100	0
63	101	133
63	102	123
64	102	92
64	103	40
65	103	19
24	107	220
25	107	71
24	108	175
25	108	227
179	111	0
180	111	0
45	112	144
179	112	179
180	112	115
45	113	279
46	113	99
179	113	140
45	114	146
46	114	115
219	114	89
220	114	169
45	115	130
220	115	56
221	115	100
222	115	51
225	115	23
226	115	97
227	115	193
228	115	94
229	115	132
230	115	0
24	116	73
44	116	98
45	116	104
222	116	93
223	116	98
224	116	103
225	116	110
8	117	0
24	117	93
42	117	122
43	117	150
44	117	123
7	118	103
8	118	175
24	118	100
43	118	42
249	118	144
250	118	295
251	118	110
24	119	93
24	120	113
76	120	73
24	121	99
